listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes
NLB-011,[LOLA 2026] Storytelling by MINDS Community Hub Clementi & Faber,National Library Board,third_space,https://nlb.libcal.com/event/5916417,,,unverified,0,0,0,Clementi Library - Programme Zone (Level 5),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-18T11:00,,chill,no,"campus: Clementi Library · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Storytelling, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-012,Laser Cutting Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971102,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-18T15:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-013,Crafty Journal | Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5937308,,,unverified,0,0,0,Jurong Library - Programme Zone (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-19T15:00,,artistic,no,"campus: Jurong Library · categories: Areas of Interest > Art & Creativity, Event Type > Learning Community, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-014,Laser Cutting Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971105,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-19T15:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-015,Make Inclusive Tech Sunday @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970992,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-20T12:00,,explorative,no,"campus: Jurong Library · categories: Areas of Interest > Accessible, Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-016,MakeIT with AI Empowered 3D Printing Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971118,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-20T15:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-017,Sewing Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971121,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-25T12:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-018,Amazon Think Big Program Workshop Series - AI Lab: Build Your Own Adventure Story,National Library Board,third_space,https://nlb.libcal.com/event/5972308,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-26T13:00,,explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-019,Amazon Think Big Program Workshop Series - Build a Disaster Relief Robot,National Library Board,third_space,https://nlb.libcal.com/event/5972310,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-26T15:30,,explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-020,MakeIT with BOSON Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971128,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-27T15:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-021,Puzzle It Out! A Jigsaw Puzzle Pop-Up | Jurong West Library,National Library Board,third_space,https://nlb.libcal.com/event/5971829,,,unverified,0,0,0,Jurong West Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-10-01T10:00,,chill,no,"campus: Jurong West Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · DRAFT from libcal API — open the link and verify before using"
