listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
NLB-5914821,MOLLY Weekend Outreach @ Fernvale Woods,National Library Board,third_space,https://nlb.libcal.com/event/5914821,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T09:00,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971444,Access Bazaar,National Library Board,third_space,https://nlb.libcal.com/event/5971444,,,unverified,,0,0,Punggol Library - Atrium (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T10:00,,artistic,yes,"campus: Punggol Library · categories: Areas of Interest > Accessible, Areas of Interest > Art & Creativity, Event Type > Others, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971772,"[LOLA 2026] Our Singapore, Our Stories Pop-up booth",National Library Board,third_space,https://nlb.libcal.com/event/5971772,,,unverified,,0,0,National Library Building - Lobby (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T11:00,,explorative,yes,"campus: National Library Building · categories: Areas of Interest > Singapore, Event Type > Exhibition, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5916259,[LOLA 2026] Lions Clubs of Singapore Reading and Action: The Effective Changemaker,National Library Board,third_space,https://nlb.libcal.com/event/5916259,,,unverified,,0,0,Sengkang Library - Programme Zone (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T12:00,,chill,yes,"campus: Sengkang Library · categories: Areas of Interest > Reading, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5970985,Make Inclusive Tech Sunday @ Punggol Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970985,,,unverified,,0,0,Punggol Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T12:00,,explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Accessible, Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5970990,Make Inclusive Tech Sunday @ Tampines Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970990,,,unverified,,0,0,Tampines Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T12:00,,explorative,yes,"campus: Tampines Library · categories: Areas of Interest > Accessible, Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971942,[LOLA 2026] Uku Strummers Performance - Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5971942,,,unverified,,0,0,Jurong Library - Programme Zone (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T13:00,,explorative,yes,"campus: Jurong Library · categories: Areas of Interest > Others, Event Type > Performance, Language > Others · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972347,Sing A Cappella | A Cappella Society,National Library Board,third_space,https://nlb.libcal.com/event/5972347,,,unverified,,0,0,CAL - National Library Building - Lobby (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T13:30,,artistic,yes,"campus: Central Arts Library · categories: Areas of Interest > Art & Creativity, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914822,MOLLY Weekend Outreach @ Marine Crescent Ville,National Library Board,third_space,https://nlb.libcal.com/event/5914822,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T13:30,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971944,[LOLA 2026] Speed Book Swap (Community Bookworm Programme) - Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5971944,,,unverified,,0,0,Jurong Library - Programme Zone (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T14:30,,chill,yes,"campus: Jurong Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971002,3D Starter Session @ Tampines Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971002,,,unverified,,0,0,Tampines Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T15:00,,artistic|explorative,yes,"campus: Tampines Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5912707,Digital Cutting Machine Starter Session @ Woodlands Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5912707,,,unverified,,0,0,Woodlands Library - MakeIT (Level 3),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T15:00,,artistic|explorative,yes,"campus: Woodlands Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
